frequency_hz,amplitude,amplitude_db
9806250.000,3.71906170116e-09,-168.591332328
9809375.000,3.88747313053e-09,-168.206651994
9812500.000,4.03466312559e-09,-167.883854417
9815625.000,4.1568977094e-09,-167.624613245
9818750.000,4.25099529003e-09,-167.430187524
9821875.000,4.31437317982e-09,-167.301645850
9825000.000,4.34508366375e-09,-167.240037138
9828125.000,4.34183915258e-09,-167.246525388
9831250.000,4.30402612991e-09,-167.322502014
9834375.000,4.2317077713e-09,-167.469686620
9837500.000,4.12561529034e-09,-167.690225440
9840625.000,3.98712823586e-09,-167.986795923
9843750.000,3.81824413442e-09,-168.362726135
9846875.000,3.6215380302e-09,-168.822138997
9850000.000,3.40011263052e-09,-169.370133930
9853125.000,3.15753990196e-09,-170.013023051
9856250.000,2.89779509239e-09,-170.758646548
9859375.000,2.62518426487e-09,-171.616804151
9862500.000,2.3442665278e-09,-172.599860268
9865625.000,2.05977222007e-09,-173.723616069
9868750.000,1.77651837206e-09,-175.008605937
9871875.000,1.49932280051e-09,-176.482097091
9875000.000,1.23291821341e-09,-178.181314634
9878125.000,9.81867699987e-10,-180.158940530
9881250.000,7.50482956733e-10,-182.493183320
9884375.000,5.42746557623e-10,-185.308058448
9887500.000,3.62239514422e-10,-188.820083540
9890625.000,2.1207529031e-10,-193.470198596
9893750.000,9.48413321406e-11,-200.460047091
9896875.000,1.25490712156e-11,-218.027768322
9900000.000,3.34067865518e-11,-209.523305956
9903125.000,4.2279002142e-11,-207.477505427
9906250.000,1.39880491148e-11,-217.084857029
9909375.000,5.08685035547e-11,-205.871020764
9912500.000,1.51017673003e-10,-196.419444519
9915625.000,2.84523840829e-10,-190.917626747
9918750.000,4.48812490564e-10,-186.958701301
9921875.000,6.40704599059e-10,-183.866843172
9925000.000,8.56461211367e-10,-181.345846024
9928125.000,1.09183757249e-09,-179.236839295
9931250.000,1.34214603962e-09,-177.444004516
9934375.000,1.60232686164e-09,-175.904977734
9937500.000,1.86702578791e-09,-174.576993668
9940625.000,2.13067735905e-09,-173.429646180
9943750.000,2.38759263916e-09,-172.440795374
9946875.000,2.63205007481e-09,-171.594117050
9950000.000,2.85838810961e-09,-170.877576068
9953125.000,3.06109814778e-09,-170.282454909
9956250.000,3.23491644611e-09,-169.802738643
9959375.000,3.37491351773e-09,-169.434747030
9962500.000,3.47657965884e-09,-169.176956304
9965625.000,3.53590525822e-09,-169.029987602
9968750.000,3.54945461376e-09,-168.996767454
9971875.000,3.51443206964e-09,-169.082896935
9975000.000,3.42873939055e-09,-169.297310464
9978125.000,3.29102341082e-09,-169.653380566
9981250.000,3.10071313132e-09,-170.170768231
9984375.000,2.85804558694e-09,-170.878616966
9987500.000,2.56407996546e-09,-171.821368694
9990625.000,2.22069962778e-09,-173.070203605
9993750.000,1.83060185309e-09,-174.748122047
